Pathway	O1_E_1cm	O1_E_5cm	O1_K_1	O1_LI_10cm	O1_LI_19cm	O1_LI_1cm	O1_LI_28cm	O1_LI_37cm	O1_LI_46cm	O1_LI_55cm	O1_S_1	O1_S_3	O1_SI_161cm	O1_SI_1cm	O1_SI_201cm	O1_SI_41cm	O1_SI_81cm	O1_Tg_F_Th	O2_E_1cm	O2_E_5cm	O2_K_1	O2_LI_10cm	O2_LI_19cm	O2_LI_1cm	O2_LI_28cm	O2_LI_37cm	O2_LI_46cm	O2_LI_55cm	O2_S_1	O2_S_3	O2_SI_121cm	O2_SI_145cm	O2_SI_49cm	O2_Tg_TR	Y1_E_1cm	Y1_E_5cm	Y1_K_1	Y1_LI_10cm	Y1_LI_19cm	Y1_LI_1cm	Y1_LI_28cm	Y1_LI_37cm	Y1_LI_46cm	Y1_LI_55cm	Y1_S_1	Y1_S_3	Y1_SI_113cm	Y1_SI_137cm	Y1_SI_29cm	Y1_SI_85cm	Y1_Th_TG_f	Y2_E_1cm	Y2_E_5cm	Y2_K_1	Y2_LI_10cm	Y2_LI_19cm	Y2_LI_1cm	Y2_LI_28cm	Y2_LI_37cm	Y2_LI_46cm	Y2_LI_55cm	Y2_S_1	Y2_S_3	Y2_SI_113cm	Y2_SI_141cm	Y2_SI_169cm	Y2_SI_1cm	Y2_SI_29cm	Y2_SI_57cm	Y2_Tg_TR
PWY-5384: sucrose degradation IV (sucrose phosphorylase)	0	0	0	25.967	33.8902	20.641	31.8446	36.3029	33.1335	40.3591	52.5705	0	16.0592	13.1798	0	18.0569	25.2149	49.9111	0	0	17.7756	18.9672	17.6578	19.6287	23.2006	23.5272	29.9578	24.1025	74.4876	39.9449	155.49	101.526	30.0501	90.5998	0	0	0	27.0006	30.7549	86.3452	33.6723	23.1583	29.7396	14.9503	102.039	186.128	0	68.8554	0	0	0	0	0	0	44.7854	48.0623	35.3473	45.1825	45.2084	37.8662	53.3924	198.893	207.049	92.5537	118.916	161.976	28.2409	27.1049	257.393	83.457
PWY-5392: reductive TCA cycle II	0	0	0	2.28613	1.4518	2.25091	3.13482	2.18501	2.252	1.64483	6.00456	0	0	0	0	0	0	0	0	0	0	3.14955	4.64959	2.98338	2.35251	4.22959	5.1741	4.35253	0	10.6746	0	0	0	8.95332	0	0	0	0	2.23229	1.84499	3.00711	1.83524	2.36947	3.8167	3.16316	0	0	5.07692	0	0	0	0	0	0	5.04066	4.30644	5.90776	7.0842	5.1279	5.35894	7.98522	0	0	0	0	0	0	0	0	0
PWY-5415: catechol degradation I (meta-cleavage pathway)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.516622	0	0	0.632104	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5417: catechol degradation III (ortho-cleavage pathway)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.35712	1.6494	1.34659	2.45786	1.96578	1.75628	2.62593	0	0	0	0	0	0	0	0	0
PWY-5431: aromatic compounds degradation via &beta;-ketoadipate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.35712	1.6494	1.34659	2.45786	1.96578	1.75628	2.62593	0	0	0	0	0	0	0	0	0
"PWY-5464: superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle"	0	0	0	4.12438	4.74697	4.8409	5.6259	5.591	3.35766	3.16362	37.1975	0	0	0	0	0	0	0	0	0	0	1.66538	3.35279	1.83539	1.41022	0	0	0	15.049	24.0881	0	0	0	14.606	0	0	0	0	0	2.82651	0	0	1.11563	0	41.5654	2.2158	0	0	0	0	0	0	0	0	6.98612	4.62128	6.0973	7.78931	5.50829	7.48519	7.81195	0	3.28218	0	0	0	0	0	0	0
PWY-5484: glycolysis II (from fructose 6-phosphate)	0	0	89.5156	174.906	176.485	210.537	152.499	128.917	125.404	111.733	351.072	177.683	93.5627	229.985	129.732	146.853	138.01	368.216	72.1998	119.546	73.1324	124.055	159.47	103.597	93.734	107.677	122.918	125.099	348.734	282.736	200.207	237.872	120.29	344.692	190.86	252.069	69.6348	225.787	232.967	145.61	216.159	219.301	208.844	210.533	318.54	528.47	0	106.063	0	0	91.2832	180.079	0	76.3429	119.016	106.502	99.5501	137.859	115.813	126.056	132.724	392.892	397.55	278.643	332.675	279.696	83.893	87.6089	346.71	240.403
PWY-5494: pyruvate fermentation to propanoate II (acrylate pathway)	0	0	0	1.90267	1.13769	3.7804	1.41354	0	0.352487	0.409887	2.60972	0	0	0	0	0	0	2.952	0	0	0	0	0.443703	0.359348	0.341572	0.563663	1.07635	0.56083	0	0	0	0	0	1.75576	0	0	0	0.336914	0.827004	0.878155	0.832446	0	0.406929	0.3636	0	0.658802	0	0	0	0	0	0	0	0	0	0	0.556519	0.357105	0.345441	0	0.206515	0	0.645086	0	0	0	0	0	0	0
PWY-5497: purine nucleobases degradation II (anaerobic)	0	0	0	4.3046	2.85329	3.31526	4.02305	4.17014	3.81901	2.60056	9.16822	0	0	0	0	0	0	11.7241	0	0	0	1.33508	1.70389	1.3119	1.43023	1.1183	0.560395	0	0	23.1202	0	0	0	39.6378	0	0	0	0	0.452029	5.11581	0.684518	0.183677	1.35654	0.581926	33.9649	14.039	0	0	0	0	0	0	0	0	3.15782	2.85271	1.87215	4.07857	5.36795	3.58792	5.98633	0	0	0	0	0	0	0	0	0
PWY-5505: L-glutamate and L-glutamine biosynthesis	0	0	0	34.3816	32.5723	31.2151	35.8526	30.1077	40.2582	35.0366	16.1404	0	0	18.5873	0	0	0	4.71226	0	0	0	35.7187	38.8065	41.831	37.5296	46.4569	54.6763	44.0006	7.69544	5.2033	0	20.6583	0	0	0	0	0	45.8521	68.0427	38.4637	68.6114	62.182	61.8639	44.113	4.17635	1.38175	0	35.4022	0	0	0	0	0	0	48.1247	59.8762	32.6214	54.1979	59.1495	45.7075	49.3425	9.90696	10.77	15.9292	0	0	0	0	12.9889	0
PWY-5514: UDP-N-acetyl-D-galactosamine biosynthesis II	0	0	0	0.791058	0.585754	0	0.899007	0.580564	0	0.593192	1.7461	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18287	0	0	0	0	2.12806	0	0	0	0	0	0	0	0	0	0.408175	0	0	0	0	7.7744	5.78197	0	0	0	0	0	0	0	0	0	0	0	0	0	0.506001	0.381392	0	1.29442	0	0	0	0	0	0	0
PWY-561: superpathway of glyoxylate cycle and fatty acid degradation	0	0	0	0	0	0	0.59224	0	0.491263	3.48041	29.8605	0	0	0	0	0	0	0	0	0	0	0.789437	0.267684	0	0	0.549119	0	0	0	0	0	0	0	0	0	0	0	0	0	0.425161	0	0	0	0	0	2.27865	0	0	0	0	0	0	0	0	7.96073	5.02656	5.26292	8.32323	9.10839	6.9268	10.1981	0	7.21266	0	0	0	0	0	0	0
PWY-5654: 2-amino-3-carboxymuconate semialdehyde degradation to 2-hydroxypentadienoate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0224292	0.0168824	0	0.0228918	0	0	0	0	0	0	0	0	0
PWY-5656: mannosylglycerate biosynthesis I	0	0	0	0	0	0	0	0	0.252805	0.578742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.149874	0.234444	0.259057	0.618166	0	0	0	0	0	0	0	0	0
PWY-5659: GDP-mannose biosynthesis	0	0	0	37.009	35.7352	37.6429	37.4342	37.9112	35.9267	43.8414	127.293	0	16.7713	22.7058	0	19.1405	17.7188	128.336	0	0	0	28.4874	35.6332	25.3264	25.8426	29.6138	26.1226	25.1743	93.9874	98.1522	65.5399	61.513	27.0319	174.458	0	0	0	26.561	32.613	48.5788	32.7814	29.3619	30.3397	17.5376	123.393	191.605	0	40.8527	0	0	0	0	0	0	33.7046	35.7078	43.6667	36.7677	30.1439	31.7999	36.6612	151.154	147.224	118.102	154.683	195.687	24.5743	15.2261	124.39	91.0576
PWY-5667: CDP-diacylglycerol biosynthesis I	0	0	33.8464	308.082	422.429	241.032	382.734	392.976	334.984	353.754	444.756	0	245.563	154.899	305.777	280.832	259.854	496.598	83.408	39.7822	79.3163	234.117	302.654	199.876	206.914	203.965	171.43	176.795	436.334	326.596	179.44	135.684	85.1251	301.335	141.27	151.699	0	192.059	128.075	299.425	121.336	150.711	154.972	154.057	265.414	389.834	0	256.381	0	0	52.4918	46.2555	0	45.2682	169.984	153.13	189.507	187.752	167.346	168.056	192.85	406.368	433.381	198.607	317.677	319.056	257.574	207.786	299.799	166.139
PWY-5675: nitrate reduction V (assimilatory)	0	0	0	0.521053	0.0910493	0.53357	0.389926	0.40887	3.58214	4.36224	21.681	0	0	0	0	0	0	1.76734	0	0	0	0	0.586126	0.557598	0	0	0.364847	0	2.50695	0.877789	0	7.87543	0	25.6522	0	80.3084	28.2452	0	0	0.574928	0	0	0	0	0	0.915085	0	0	0	0	0	0	0	0	4.48532	3.97564	3.84234	5.6729	8.54505	4.95352	7.13938	2.02082	4.17304	0	0	0	0	0	0	0
PWY-5676: acetyl-CoA fermentation to butanoate II	0	0	0	15.1906	11.0424	8.46339	14.7488	11.1795	13.3069	12.0501	107.235	41.362	0	0	0	0	0	65.6811	0	0	0	4.40953	8.44816	4.19392	3.49586	5.01289	4.60831	4.44456	69.6311	51.3441	142.584	31.1576	19.0202	91.1733	0	0	0	0.251705	0.718084	3.60859	0.805936	0.62025	0.792031	0.660456	61.6696	167.16	0	2.71048	0	0	0	0	0	0	10.5383	12.626	5.26122	15.6995	20.797	12.8673	9.18593	68.5215	89.0733	10.8606	7.26007	0	0	0	0	0
PWY-5677: succinate fermentation to butanoate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.94901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.651942	0	0	0	0	0	0	0	0	0	0	0
PWY-5686: UMP biosynthesis I	95.1222	102.085	129.373	703.159	758.871	718.234	732.08	742.254	690.709	714.972	558.419	47.901	489.682	310.401	446.63	495.061	512.162	628.916	164.743	119.955	159.779	562.168	605.314	513.194	543.26	486.121	372.757	392.507	492.451	435.419	286.739	293.058	225.759	499.737	244.242	251.048	138.455	547.002	514.957	708.982	495.383	512.837	503.534	529.156	479.74	443.898	0	550.031	0	0	69.5159	174.375	0	112.369	511.52	447.629	562.344	474.109	400.794	453.326	473.019	602.217	649.519	442.348	463.967	473.343	416.6	405.987	565.774	201.042
PWY-5690: TCA cycle II (plants and fungi)	0	0	0	20.5188	18.8883	27.7068	22.2828	16.4853	13.6296	13.9883	37.4655	0	0	0	0	0	0	0	0	0	0	16.8428	17.0277	18.0657	18.8848	17.3684	10.0092	9.57451	10.146	16.8017	0	0	0	9.83366	0	0	0	10.3304	7.64004	15.7738	5.67852	10.597	7.80607	6.19465	36.0505	1.47875	0	0	0	0	0	0	0	0	6.56379	3.55665	9.5482	6.68148	3.75327	5.82074	5.2669	0	2.19286	0	0	0	0	0	0	0
PWY-5695: inosine 5-phosphate degradation	0	71.4677	138.158	364.99	348.446	362.852	339.898	350.152	354.666	352.244	518.488	106.782	236.27	175.471	185.948	195.925	208.347	510.007	125.222	49.8363	74.533	364.611	352.324	365.283	363.272	355.388	240.739	254.059	529.909	388.94	229.606	213.785	143.939	430.345	167.181	269.854	125.727	193.868	213.22	362.493	205.593	213.595	215.633	234.913	423.924	649.539	0	298.629	39.2971	0	84.9373	216.481	0	32.3624	305.108	258.616	364.387	267.654	214.371	248.374	267.421	452.296	453.345	190.911	209.822	91.1017	108.88	164.392	180.86	309.925
PWY-5705: allantoin degradation to glyoxylate III	0	0	0	0	0	0	0	0	0	0.332577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.476368	0	0	0	0	0	0	0	0	0
PWY-5723: Rubisco shunt	0	0	0	0	0	0.408194	0	0	0.371003	1.05839	101.023	181.363	0	0	0	0	0	5.27164	0	0	0	4.69067	6.82095	5.13174	5.62537	7.08996	5.82549	5.15618	51.4715	83.6853	0	0	0	10.7935	0	34.5346	0	0	2.20948	0.564989	1.15411	0.721878	0.3555	0.671397	79.7275	27.7413	0	0	0	0	0	0	0	0	4.50499	4.53709	4.85686	5.21216	8.01786	6.41992	10.2208	113.449	69.7026	0	0	0	0	0	12.0448	0
PWY-5747: 2-methylcitrate cycle II	0	0	0	0	0	0	0	0	0.588452	0.524702	3.85248	0	0	0	0	0	0	0	0	0	0	0	0	0.234907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.243607	0	0	0	0	0	1.24691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PWY-5837: 2-carboxy-1,4-naphthoquinol biosynthesis"	0	0	0	3.65061	2.71549	4.38176	3.8911	2.73567	3.69832	2.95223	26.917	0	0	0	0	0	0	33.8816	0	0	0	0	0.503423	0	0	0.447914	0	0	45.3488	17.4521	0	21.2247	0	33.8989	0	0	0	0	0	0.387462	0	0	0	0	27.9567	92.7584	0	0	0	0	0	0	0	0	5.29194	5.12482	5.79811	5.93199	4.33708	4.31753	6.89684	41.7526	50.1278	0	0	0	0	0	0	0
PWY-5838: superpathway of menaquinol-8 biosynthesis I	0	0	0	9.95624	7.00859	12.7305	10.7569	7.51762	9.26413	6.89885	63.1049	0	0	0	0	0	0	81.5291	0	0	0	0	1.64804	0	0	1.4449	0	0	90.0379	43.1906	0	41.4581	0	78.3808	0	0	0	0	0	1.21133	0	0	0	0	52.5944	116.709	0	0	0	0	0	0	0	0	13.7315	13.5773	16.1915	15.4248	11.8932	12.115	18.1518	71.9097	81.6207	0	0	0	0	0	0	0
PWY-5840: superpathway of menaquinol-7 biosynthesis	0	0	0	3.23821	2.15051	5.89417	6.17595	6.47866	6.62896	5.40603	62.335	0	0	0	0	0	0	82.6188	0	0	0	0	1.66803	0	0	1.49177	0	0	85.8637	43.063	0	23.5193	0	76.9669	0	0	0	0	0	1.25959	0	0	0	0	52.0515	38.5672	0	0	0	0	0	0	0	0	13.4201	12.5457	16.1813	15.5617	11.3709	8.90855	12.0333	76.9116	87.3821	0	0	0	0	0	0	0
PWY-5845: superpathway of menaquinol-9 biosynthesis	0	0	0	0.719581	0	0	0	0	6.62896	0.756278	8.08181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.98772	1.66814	6.69151	4.29633	8.24233	6.91931	7.92523	22.8211	4.32007	0	0	0	0	0	0	0
PWY-5850: superpathway of menaquinol-6 biosynthesis	0	0	0	0.719581	0	0	0	0	6.62896	0.756278	8.08181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.98772	1.66814	6.69151	4.29633	8.24233	6.91931	7.92523	21.8842	8.99413	0	0	0	0	0	0	0
PWY-5855: ubiquinol-7 biosynthesis (early decarboxylation)	0	0	0	0	0	0	0	0	0	0	81.6642	0	0	40.1258	0	0	0	93.7172	110.006	0	0	0	0	0.0499482	0	0	0	0	121.762	52.9865	0	0	0	13.0095	0	22.8442	110.925	0	0	0.172566	0	0	0	0	0	13.3027	0	0	0	0	0	0	0	0	1.40158	0.721276	1.07373	1.78525	1.52771	1.91042	2.88938	66.0258	69.8544	0	0	0	0	0	0	40.2391
PWY-5860: superpathway of demethylmenaquinol-6 biosynthesis I	0	0	0	0.480162	0	0	0	0	4.45896	0.504721	5.43211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.71655	1.11648	4.50319	2.89297	5.64147	4.68001	5.38101	15.0687	6.07113	0	0	0	0	0	0	0
PWY-5861: superpathway of demethylmenaquinol-8 biosynthesis I	0	0	0	6.72298	4.72335	8.63206	7.28885	5.06507	6.25382	4.64418	44.9269	0	0	0	0	0	0	58.9	0	0	0	0	1.1009	0	0	0.964879	0	0	65.5562	30.6749	0	32.0363	0	59.3187	0	0	0	0	0	0.808804	0	0	0	0	46.0856	138.828	0	0	0	0	0	0	0	0	9.38132	9.35088	11.0447	10.6637	8.23766	8.28474	12.6253	53.5343	61.2885	0	0	0	0	0	0	0
PWY-5862: superpathway of demethylmenaquinol-9 biosynthesis	0	0	0	0.480162	0	0	0	0	4.45896	0.504721	5.43211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.71655	1.11648	4.50319	2.89297	5.64147	4.68001	5.38101	15.7359	2.89725	0	0	0	0	0	0	0
PWY-5896: superpathway of menaquinol-10 biosynthesis	0	0	0	0.719581	0	0	0	0	6.62896	0.756278	8.08181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.98772	1.66814	6.69151	4.29633	8.24233	6.91931	7.92523	0	0	0	0	0	0	0	0	0
PWY-5897: superpathway of menaquinol-11 biosynthesis	0	0	0	10.5178	7.86479	12.6045	11.1292	7.92281	10.6778	8.57359	61.1835	0	0	0	0	0	0	80.569	0	0	0	0	1.50161	0	0	1.33772	0	0	88.9448	42.084	0	39.2009	0	75.0907	0	0	0	0	0	1.15592	0	0	0	0	52.6013	115.278	0	0	0	0	0	0	0	0	14.7558	14.0164	16.2688	16.113	11.8014	12.1348	18.4511	73.4295	84.0847	0	0	0	0	0	0	0
PWY-5898: superpathway of menaquinol-12 biosynthesis	0	0	0	10.5178	7.86479	12.6045	11.1292	7.92281	10.6778	8.57359	61.1835	0	0	0	0	0	0	80.569	0	0	0	0	1.50161	0	0	1.33772	0	0	88.9448	42.084	0	39.2009	0	75.0907	0	0	0	0	0	1.15592	0	0	0	0	52.6013	115.278	0	0	0	0	0	0	0	0	14.7558	14.0164	16.2688	16.113	11.8014	12.1348	18.4511	73.4295	84.0847	0	0	0	0	0	0	0
PWY-5899: superpathway of menaquinol-13 biosynthesis	0	0	0	10.5178	7.86479	12.6045	11.1292	7.92281	10.6778	8.57359	61.1835	0	0	0	0	0	0	80.569	0	0	0	0	1.50161	0	0	1.33772	0	0	88.9448	42.084	0	39.2009	0	75.0907	0	0	0	0	0	1.15592	0	0	0	0	52.6013	115.278	0	0	0	0	0	0	0	0	14.7558	14.0164	16.2688	16.113	11.8014	12.1348	18.4511	73.4295	84.0847	0	0	0	0	0	0	0
PWY-5910: superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	0	0	0	0	0.695174	0	0	0	0.566662	0	39.3651	0	0	0	0	0	0	24.0517	0	0	0	0	1.52969	0	0	0	0	0	18.029	22.3988	21.7793	16.5784	0	78.3553	0	0	0	0	0	0.316899	0	0	0	0	49.086	48.9929	0	0	0	0	0	0	0	0	1.25388	1.32917	3.28696	2.66909	1.45019	0.731824	0.543229	134.327	152.774	65.5676	71.5188	71.6795	0	0	123.692	0
PWY-5913: partial TCA cycle (obligate autotrophs)	0	0	0	90.8755	87.7241	68.8548	51.6308	81.1292	35.6637	33.5789	310.309	0	37.2297	84.8382	54.5685	52.1804	44.7666	218.595	83.4913	0	23.7934	12.9866	80.0197	20.8699	13.577	15.4585	8.79314	23.0813	343.841	213.662	0	36.8088	42.353	122.529	0	109.292	105.397	29.6755	7.6221	23.9534	6.87823	23.9697	14.6797	25.389	83.2915	255.687	0	15.805	0	0	0	86.9696	0	0	11.7894	12.039	22.3287	19.4104	16.2032	14.1895	17.6649	284.438	283.64	80.018	43.2918	0	34.3296	39.7957	62.2198	163.14
PWY-5918: superpathway of heme b biosynthesis from glutamate	0	0	0	2.26461	2.29626	2.88809	2.98098	3.30105	4.72274	3.29989	151.108	0	0	49.9271	0	0	0	182.751	0	0	0	0	1.95426	1.18873	0.743681	1.80816	0	1.21333	143.193	90.0244	0	0	0	111.309	42.2881	88.5078	0	0	0	1.17602	0	1.38525	1.85077	0	68.6781	116.247	0	0	0	0	0	0	0	0	10.0193	10.7255	6.69027	10.7377	6.89891	7.2406	10.3555	88.5779	94.5513	0	0	0	0	0	14.5531	48.6462
PWY-5920: superpathway of heme b biosynthesis from glycine	0	0	0	0.869109	1.2649	1.50353	1.09898	1.37436	0.96263	1.19891	115.019	0	0	33.5775	0	0	0	135.958	0	0	0	0	1.04477	0	0	0	0	0	96.2574	61.024	0	0	0	58.213	0	0	0	0	0	0	0	0	0	0	19.9624	65.5364	0	0	0	0	0	0	0	0	4.60473	4.76691	3.04086	3.10555	3.99158	3.82652	6.60162	42.0314	52.8373	0	0	0	0	0	0	0
PWY-5941: glycogen degradation II	0	0	0	287.911	232.625	222.246	274.767	297.684	269.514	293.358	369.505	71.0818	62.8021	170.443	75.1072	189.649	128.532	415.8	0	0	64.9069	281.433	298.657	219.884	243.415	231.511	211.842	199.636	345.383	237.654	201.695	190.61	132.411	378.362	0	0	55.4038	225.86	224.598	339.511	245.576	229.263	251.538	229.669	327.424	451.494	0	310.256	71.533	0	0	69.8389	0	106.748	244.42	251.014	238.192	269.389	236.357	236.879	257.689	397.286	458.366	250.614	286.407	245.363	185.324	89.9619	301.217	193.243
PWY-5971: palmitate biosynthesis (type II fatty acid synthase)	0	0	0	22.0625	19.2937	30.5148	25.8959	23.4324	24.0898	19.0854	319.371	0	0	0	0	0	0	366.8	0	0	0	9.10946	20.0436	0	0	0	0	0	337.771	216.623	73.7129	156.713	31.8601	287.908	0	0	0	0	7.14564	31.5566	0	0	7.40605	0	201.633	451.252	0	67.9783	0	0	0	0	0	0	45.7141	38.0454	45.3186	56.8919	42.9913	46.8332	61.9394	316.257	320.369	0	0	0	0	0	89.4356	263.591
PWY-5972: stearate biosynthesis I (animals)	0	0	0	0.296307	0.205331	0	0.255358	0.48574	0.365636	0.305965	2.41941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.67704	4.37403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.415854	0	0	0	0	0	0	0	0	0	0
PWY-5973: cis-vaccenate biosynthesis	0	0	57.6519	272.239	244.958	246.005	261.265	276.463	245.069	279.655	496.806	50.3084	82.9746	217.792	80.5406	88.9768	108.525	600.286	216.284	68.9051	43.3422	277.798	354.516	195.226	232.515	213.062	112.053	111.875	527.226	358.742	208.703	202.739	120.299	380.218	235.596	293.904	111.721	109.372	103.573	313.633	111.178	112.092	113.822	83.9831	241.754	457.768	0	273.878	0	0	120.422	99.7986	0	0	185.372	194.789	232.615	219.095	194.492	209.415	196.056	547.429	603.51	282.128	331.997	349.928	0	101.165	364.111	278.244
PWY-5981: CDP-diacylglycerol biosynthesis III	0	0	0	0.949966	1.31311	1.17877	0.8314	1.88323	1.53916	1.77722	222.495	0	0	87.2352	0	19.3176	15.5631	235.956	129.621	0	0	0	0.180045	0.465614	0	0	0	0	204.805	139.548	66.727	51.9116	21.3826	146.689	0	63.8206	115.558	0.37884	0	1.07963	0.862752	1.38722	0.824829	0.766996	71.8343	137.681	0	1.42055	0	0	0	35.4445	0	0	3.46843	3.08838	6.68613	6.80485	4.07531	2.4135	4.63787	297.532	317.957	182.17	203.015	208.032	0	30.6297	305.742	127.108
PWY-5989: stearate biosynthesis II (bacteria and plants)	0	0	0	14.4702	13.1868	20.1498	17.5616	16.4225	16.8626	13.3836	264.32	35.8121	26.8424	104.244	21.4896	0	0	327.65	42.1597	0	0	6.03468	15.2458	9.77273	8.33245	11.4182	11.8949	9.82134	334.643	199.121	45.6947	142.685	26.555	246.761	149.426	223.248	0	5.83051	5.23562	38.944	6.33934	7.53939	6.12943	4.43414	171.104	412.296	0	52.4581	44.2587	0	0	0	0	0	36.2072	27.3983	36.7994	39.4914	29.4626	32.796	48.3622	223.372	220.905	15.1199	54.416	39.886	0	25.9365	58.1596	261.418
PWY-5994: palmitate biosynthesis (type I fatty acid synthase)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.80415	0	0	0	0	0	0	0	0	0	0	0	3.35555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.756139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.94859	3.4874	0	0	0	0	0	0	0
PWY-6113: superpathway of mycolate biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.56974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	0	0	0	529.271	577.849	499.608	539.08	547.501	478.945	496.598	417.953	76.4485	344.957	212.686	330.759	377.673	291.199	414.675	181.337	105.785	139.262	354.529	451.996	325.321	338.341	320.972	305.116	324.131	360.804	343.262	247.278	233.019	161.51	419.611	173.436	154.425	187.606	408	428.652	445.536	414.612	420.272	426.427	456.308	380.54	456.228	0	366.936	0	0	53.3141	168.624	0	88.9615	337.777	327.456	320.487	352.392	301.893	331.989	337.288	572.973	644.965	403.791	453.859	417.844	278.104	272.981	490.589	167.065
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	138.072	54.3722	186.153	591.824	603.309	571.995	559.958	595.83	499.548	517.927	440.616	75.8297	415.859	217.293	375.595	437.921	352.494	446.468	215.836	132.675	171.142	468.05	545.421	433.742	453.617	416.494	345.685	360.425	377.04	354.464	265.646	240.816	168.043	442.926	182.942	167.856	188.312	494.042	491.567	501.955	469.262	482.586	490.536	478.858	386.458	471.959	0	427.688	51.3707	0	99.4569	185.642	0	81.7081	400.929	346.146	471.784	370.508	352.682	354.762	379.527	610.206	680.259	429.707	515.565	441.432	302.52	285.046	511.486	166.437
PWY-6123: inosine-5-phosphate biosynthesis I	0	0	83.8874	475.938	550.109	487.216	503.73	502.386	456.788	461.382	446.717	92.2401	325.471	183.464	326.123	352.714	338.872	457.046	190.139	106.543	126.504	227.059	344.526	216.018	218.356	201.086	236.567	274.141	391.995	357.036	293.49	211.258	127.452	463.379	245.336	302.642	146.071	242.286	218.606	314.881	204.893	227.77	205.99	216.579	408.122	543.976	0	260.216	0	0	71.1598	136.939	0	92.6686	205.073	197.731	215.895	233.307	207.146	226.528	224.332	579.032	630.342	373.088	410.368	420.999	305.799	292.231	456.195	226.087
